_pathTag,"Test Case Description",Priority,"Can Automate","Is Automated","Validation points","Test Step Description"
"Public API","Verify 'Owner' can list records by public API",High,true,true,,
"Public API","Verify 'Owner can add records by public API",High,true,true,,
"Public API","Verify 'Owner' can update records by public API",High,true,true,,
"Public API","Verify 'Owner' can edit Translation by public API (All Laguages)",High,true,true,,
"Public API","Verify 'Owner' can delete records by public API",High,true,true,,
"Public API","Verify 'Owner' can upload files by public API",High,true,true,,
"Public API","Verify 'Owner' can download files by public API",High,true,true,,
"Public API","Verify 'Admin' can retrieve a view by public API",High,true,true,,
"Public API","Verify 'Admin' can list records by public API",High,true,true,,
"Public API","Verify 'Admin' can add records by public API",High,true,true,,
"Public API","Verify 'Admin' can update records by public API",High,true,true,,
"Public API","Verify 'Admin' can delete records by public API",High,true,true,,
"Public API","Verify 'Admin' can edit translation by public API (All Languages)",High,true,true,,
"Public API","Verify 'Admin' can upload files by pubic API",High,true,true,,
"Public API","Verify 'Admin' can download files by public API",High,true,true,,
"Public API","Verify 'Owner' can sort single column by DESC",High,true,,,
"Public API","Verify 'Owner' can sort single column by ASC
",High,true,,,
"Public API","Verify 'Owner' can sort multiple column by DESC
",High,true,,,
"Public API","Verify 'Owner' can sort multiple column by ASC
",High,true,,,
"Public API","Verify 'Owner' can sort RichText by DESC
",High,true,,,
"Public API","Verify 'Owner' can sort RichText by ASC
",High,true,,,
"Public API","Verify 'Owner' can sort Markdown by DESC
",High,true,,,
"Public API","Verify 'Owner' can sort Markdown by ASC
",High,true,,,
"Public API","Verify 'Owner' can sort Number column by DESC
",High,true,,,
"Public API","Verify 'Owner' can sort Number column by DESC
",High,true,,,
"Public API","Verify 'Owner' can sort DateTime column by DESC
",High,true,,,
"Public API","Verify 'Owner' can sort DateTime Column by ASC
",High,true,,,
"Public API","Verify 'Owner' can sort Single Selection Column by DESC",High,true,,,
"Public API","Verify 'Owner' can sort Single Selection column by ASC",High,true,,,
"Public API","Verify 'Owner' can sort Multiple Selection column by DESC
",High,true,,,
"Public API","Verify 'Owner' can sort Multiple Selection column by ASC",High,true,,,
"Public API","Verify 'Owner' can sort File column by DESC
",High,true,,,
"Public API","Verify 'Owner' can sort File column by ASC
",High,true,,,
"Public API","Verify 'Owner' can sort Boolean Column to DESC by public API
",High,true,,,
"Public API","Verify 'Owner' can sort Boolean Column to ASC by public API
",High,true,,,
"Public API","Verify 'Owner' can sort Source Language Column to DESC by public API
",High,true,,,
"Public API","Verify 'Owner' can sort Source Language Column to ASC by public API
",High,true,,,
"Public API","Verify 'Owner' can sort Target Language Column to DESC by public API
",High,true,,,
"Public API","Verify 'Owner' can sort Target Language Column to ASC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort single column to DESC by public API",High,true,,,
"Public API","Verify 'Admin' can sort single column to ASC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort multiple column to DESC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort multiple column to ASC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort RichText to DESC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort RichText to ASC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort Markdown to DESC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort Markdown to ASC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort number column to DESC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort number column to ASC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort DateTime Column to DESC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort DateTime Column to ASC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort Single Selection Column to DESC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort Single Selection Column to ASC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort Multiple Selection Column to DESC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort Multiple Selection Column to ASC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort File Column to DESC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort File Column to ASC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort Boolean column to DESC by public API
",High,true,,,
"Public API","Verify 'Admin' can sort Boolean Column by ASC
",High,true,,,
"Public API","Verify 'Admin' can sort Source Language Column by DESC
",High,true,,,
"Public API","Verify 'Admin' can sort Source Language Column by ASC
",High,true,,,
"Public API","Verify 'Admin' can sort Target Language Column by DESC
",High,true,,,
"Public API","Verify 'Admin' can sort Target Language column by ASC
",High,true,,,
"Grid/Upload Folder","Upload folder with column match with file name",High,true,,,
"Grid/Upload Folder","Upload folder with combine pathtag with the file name",High,true,,,
Grid/Filter,"Verify scroll bar will be recalculated when using quick filter on column",Medium,,,,
Grid/Filter,"Verify scroll bar will be recalculated when using filter on column",Medium,,,,
Grid/Filter,"Verify scroll bar will be recalculated when filtering by path tag",Medium,,,,
,"Verify scroll bar will be recalculated when adding new record",Medium,,,,
,"Verify scroll bar will be recalculated when switching between grid",Medium,,,,
,"Sign up by email is already in uses",,true,false,,"<li>Go to the register page. (https://app.gridly.com/getstarted)</li><li>Input email to field and click on &quot;Next&quot; button (Email is already in use)</li>"
,"Sign up by email is not yet used",,false,false,,"<li>Go to the register page. (https://app.gridly.com/getstarted)</li><li>Input email to field and click on &quot;Next&quot; button</li><li>Input &quot;First name&quot;, &quot;Last name&quot; and &quot;Password&quot;.</li><li>Input &quot;Company&#39;s name&quot; and &quot;company&#39;s description&quot;</li><li>Click on &quot;Next&quot; button.</li>"
,"Sign up by email is not in the correct format",,false,false,,"<li>Go to the register page. (https://app.gridly.com/getstarted)</li><li>Input email to field and click on &quot;Next&quot; button. (Email is not correct format)</li>"
,"Sign up by company's name is already in use",,false,false,,"<p>Go to the register page. (https://app.gridly.com/getstarted)</p><li>Input email to field and click on &quot;Next&quot; button</li><li>Input &quot;First name&quot;, &quot;Last name&quot; and &quot;Password&quot;.</li><li>Input &quot;Company&#39;s name&quot; and &quot;company&#39;s description&quot; (Company&#39;s name is already in use)</li><li>Click on &quot;Next&quot; button.</li>"
,"Sign up by company's name is not yet used",,true,false,,"<li>Go to the register page. (https://app.gridly.com/getstarted)</li><li>Input email to field and click on &quot;Next&quot; button</li><li>Input &quot;First name&quot;, &quot;Last name&quot; and &quot;Password&quot;.</li><li>Input &quot;Company&#39;s name&quot; and &quot;company&#39;s description&quot; (Company&#39;s name is not yet used)</li><li>Click on &quot;Next&quot; button.</li>"
,"Sign up by a password less than 4 characters",,false,false,,"<li>Go to the register page. (https://app.gridly.com/getstarted)</li><li>Input email to field and click on &quot;Next&quot; button</li><li>Input &quot;First name&quot;, &quot;Last name&quot; and &quot;Password&quot;. (Password less than 4 characters)</li>"
,"Sign up by a password greater than 4 characters",,true,false,,"<li>Go to the register page. (https://app.gridly.com/getstarted)</li><li>Input email to field and click on &quot;Next&quot; button</li><li>Input &quot;First name&quot;, &quot;Last name&quot; and &quot;Password&quot;. (password greater than 4 characters)</li>"
,"Input a email address not registered to use ""Forgot Password"" function",,false,false,,"<li>At the login page, click the &quot;Forgot password?&quot; Button</li><li>Input a Email to field. (Email not registered)</li><li>Click on &quot;Request reset link&quot;</li>"
,"Input a email address  was registered to use ""Forgot Password"" function",,true,false,,"<li>At the login page, click the &quot;Forgot password?&quot; Button</li><li>Input a Email to field. (Email was registered)</li><li>Click on &quot;Request reset link&quot;</li>"
,"Input a Email address is not in the correct format to use ""Forgot Password"" function",,false,false,,"<li>At the login page, click the &quot;Forgot password?&quot; Button</li><li>Input a Email to field. (Email is wrong format)</li><li>Click on &quot;Request reset link&quot;</li>"
,"Do not input a Email address to use ""Forgot Password"" function",,false,false,,"<li>At the login page, click the &quot;Forgot password?&quot; Button</li><li>Don&#39;t input a Email to field.</li><li>Click on &quot;Request reset link&quot;</li>"
,"Verify user can login with registered account",,true,false,,"<li>Go to the login page.</li><li>Input email and password of registered account.(Registered account)</li><li>Click on &quot;Next&quot; button.</li>"
,"Login with an unregistered account",,false,false,,"<li>Go to the login page.</li><li>Input email and password of unregistered account. (Unregistered account)</li><li>Click on &quot;Next&quot; button.</li>"
,"Verify user can't login with invalid account",,true,false,,"<li>Go to the login page.</li><li>Input wrong password.</li><li>Click on &quot;Next&quot; button.</li>"
,"Login with Email  address is not in the correct format ",,false,false,,"<li>Go to the login page.</li><li>Input email address is not in the correct format. </li><li>Click on &quot;Next&quot; button.</li>"
,"Verify appearance UI of 'tutorial' for the first time after creating company",,true,false,,
Project,"Create/ Add new company with company's name is not already in use",,true,true,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Switch Organization&quot; </li><li>Click on the &quot;Create a new company&quot; button</li><li>Input company&#39;s name and company&#39;s description. (company&#39;s name is not already in use)</li><li>Click on the &quot;Create&quot; button</li>"
Project,"Create/ Add new company with company's name is already in use",,false,true,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Switch Organization&quot; </li><li>Click on the &quot;Create a new company&quot; button</li><li>Input company&#39;s name and company&#39;s description. (company&#39;s name is already in use)</li><li>Click on the &quot;Create&quot; button</li>"
Project,"Create/ Add new company with the account that was sent the invitation",,false,true,,"<li>Login with an invited account</li><li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Switch Organization&quot; </li><li>Click on the &quot;Create a new company&quot; button</li><li>Input company&#39;s name and company&#39;s description. </li><li>Click on the &quot;Create&quot; button</li>"
Project,"Update company's name with company's name is already in use",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Input new company&#39;s name  (company&#39;s name is already in use)</li><li>Click on the &quot;Save&quot; button</li>"
Project,"Update company's name with company's name is not already in use",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Input new company&#39;s name (company&#39;s name is not already in use)</li><li>Click on the &quot;Save&quot; button</li>"
Project,"Update company's description",,true,true,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Input new company&#39;s description.</li><li>Click on the &quot;Save&quot; button</li>"
Project,"Update company's logo",,true,true,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Click on &quot;Company&quot; logo and select new logo to upload.</li><li>Click on the &quot;Save&quot; button</li>"
Project,"Verify 'Owner' can create group without name",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Click on the &quot;Add group button&quot;</li>"
Project,"Verify 'Owner' can update group name",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select &quot;Group&quot; to rename </li><li>Click on the &quot;Down arrow&quot; icon</li><li>Input new group&#39;s name</li>"
Project,"Verify 'Owner' can delete group",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select &quot;Group&quot; to delete.</li><li>Click on the &quot;Down arrow&quot; icon</li><li>Click on the &quot;Delete&quot; button to delete group</li>"
Permission,"Verify 'Owner' can add a member to a group access",,true,false,"- User is added to group access can see view of that group",
Permission,"Verify 'Owner' can remove member out of group access",,true,false,"- User is removed can't see view of that group",
Permission,"Verify 'Owner' can update payment infomation",,true,false,"- User in group",
Permission,"Verify 'Owner' can assign a view to group access",,true,false,"- ",
Project,"Verify 'Admin' can create group without name",,true,false,,
Project,"Verify 'Admin' can update group name",,true,false,,
Project,"Verify 'Admin' can delete group",,true,false,,
Permission,"Verify 'Admin' can add a member to a group access",,true,false,"- User is added to group access can see view of that group",
Permission,"Verify 'Admin' can remove member out of group access",,true,false,"- User is removed can't see view of that group",
Permission,"Verify sort function at 'Edit group & access' works",,false,false,,
Project,"Find a group by entering any 1 character",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Entering any 1 character into &quot;Find a group&quot; flied.</li>"
Project,"Verify 'Owner' can invite member by entering unregisted email",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to add member</li><li>Click on &quot;Add member&quot; button</li><li>Input Email you want to invite (email is not already in use)</li><li>Click on &quot;Invite&quot; button</li>"
Project,"Find a member by input email is already in group",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Entering email of member (email is already in group)</li>"
Project,"Find a member by input email is not already in group",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Entering email of member (email is not already in group)</li>"
Project,"Find a member by entering any some characters",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Entering some characters into &quot;Find a member&quot; flied.</li>"
Project,"Search View by input view's name",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Input View&#39;s name</li>"
Project,"Sort Databases to a-z",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort database&quot; icon and select &quot;down arrow&quot; to sort a-z</li>"
Project,"Sort Databases to z-a",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort database&quot; icon and select &quot;up arrow&quot; to sort z-a</li>"
Project,"Sort grids to a-z",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort grid&quot; icon and select &quot;down arrow&quot; to sort a-z</li>"
Project,"Sort grids to z-a
",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort grid&quot; icon and select &quot;up arrow&quot; to sort z-a</li>"
Project,"Sort views to a-z",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort grid&quot; icon and select &quot;down arrow&quot; to sort a-z</li>"
Project,"Sort views to z-a",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort view&quot; icon and select &quot;up arrow&quot; to sort z-a</li>"
Project,"Add new role",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Company role&quot; tab</li><li>Click on the &quot;Add role&quot; button.</li>"
Project,"Delete role",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Company role&quot; tab</li><li>Select &quot;Role&quot; to delete.</li><li>Click on the &quot;Down arrow&quot; icon</li><li>Click on the &quot;Delete&quot; button to delete Role.</li>"
Project,"Rename role",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Company role&quot; tab</li><li>Select &quot;Role&quot; to rename.</li><li>Click on the &quot;Down arrow&quot; icon</li><li>Entering new role&#39;s name</li>"
Project,"Setting permission for new role",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Company role&quot; tab</li><li>Select &quot;Role&quot; to setting permission .</li><li>Unable any function you want to setting for this role.</li>"
Project,"Find a role by input any characters",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Company role&quot; tab</li><li>Entering any characters into &quot;Find a role&quot; flied.</li>"
Project,"Find a role by input full role's name",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Company role&quot; tab</li><li>Entering full role&#39;s name into &quot;Find a role&quot; flied.</li>"
Project,"Find a member in company by input any characters ",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Entering any characters into &quot;Find a member&quot; flied.</li>"
Project,"Find a member in company by input full member's name",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Entering full member&#39;s name &quot;Find a member&quot; flied.</li>"
Project,"Add filter member to role is ""All Roles""",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;All Roles&quot; in filter field</li>"
Project,"Add filter member to role is ""Owner"" role",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;Owner&quot; in &quot;filter to role&quot; field</li>"
Project,"Add filter member to role is ""Admin"" role",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;Admin&quot; in &quot;filter to role&quot; field</li>"
Project,"Add filter member to role is ""User"" role",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;User&quot; in &quot;filter to role&quot; field</li>"
Project,"Add filter member to status is ""All status""",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;All Status&quot; in &quot;filter to Status&quot; field</li>"
Project,"Add filter member to status is ""Active""",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;Active&quot; in &quot;filter to Status&quot; field</li>"
Project,"Add filter member to status is ""Inactive""",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;Inactive&quot; in &quot;filter to Status&quot; field</li>"
Project,"Add filter member to status is ""Pending invitation""",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;Pending invitation&quot; in &quot;filter to Status&quot; field</li>"
Project,"Add filter member to status is ""Pending approval""",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;Pending approval&quot; in &quot;filter to Status&quot; field</li>"
Project,"Sort member's name to a-z",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Click on the &quot;Sort member&#39;s name&quot; icon and select sort icon is &quot;Down arrow&quot; to sort a-z.</li>"
Project,"Sort member's name to z-a",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Click on the &quot;Sort member&#39;s name&quot; icon and select sort icon is &quot;Up arrow&quot; to sort z-a.</li>"
Project,"Sort Company role to a-z",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Click on the &quot;Sort company&#39;s name&quot; icon and select sort icon is &quot;Down arrow&quot; to sort a-z.</li>"
Project,"Sort Company role to z-a",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Click on the &quot;Sort company&#39;s name&quot; icon and select sort icon is &quot;Up arrow&quot; to sort z-a.</li>"
Project,"Sort Status to a-z",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Click on the &quot;Sort status&#39;s name&quot; icon and select sort icon is &quot;Down arrow&quot; to sort a-z.</li>"
Project,"Sort Status to z-a",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Click on the &quot;Sort status&#39;s name&quot; icon and select sort icon is &quot;Up arrow&quot; to sort z-a.</li>"
Project,"Setting status of members to active",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select member to setting status.</li><li>Click on the &quot;three dot&quot; icon add select &quot;Active member&quot; </li><li>Click on the &quot;Active&quot; in popup to confirm action.</li>"
Project,"Setting status of members to Inactive",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select member to setting status.</li><li>Click on the &quot;three dot&quot; icon add select &quot;Inactive member&quot; </li><li>Click on the &quot;Inactive&quot; in popup to confirm action.</li>"
Project,"Find a group by input any characters of group's name",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering any characters of group&#39;s name into &quot;Find a group&quot; flied</li>"
Project,"Find a group by input full group's name",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering full group&#39;s name into &quot;Find a group&quot; flied</li>"
Project,"Search view by input any characters of view's name",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Entering any characters of view&#39;s name into &quot;Search&quot; flied to search group</li>"
Project,"Search view by input full view's name",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Entering full view&#39;s name into &quot;Search&quot; flied to search group</li>"
Project,"Sort databases to a-z",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Click on the &quot;Sort database&quot; icon </li><li>Select &quot;Up arrow&quot; to sort a-z</li>"
Project,"Sort databases to z-a",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Click on the &quot;Sort database&quot; icon </li><li>Select &quot;Up arrow&quot; to sort z-a</li>"
,"Sort grids to a-z",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Click on the &quot;Sort grid&quot; icon </li><li>Select &quot;Up arrow&quot; to sort a-z</li>"
,"Sort grids to z-a",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Click on the &quot;Sort grid&quot; icon </li><li>Select &quot;Up arrow&quot; to sort z-a</li>"
Project,"Sort views to a-z",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Click on the &quot;Sort view&quot; icon </li><li>Select &quot;Up arrow&quot; to sort a-z</li>"
Project,"Sort views to z-a",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Click on the &quot;Sort view&quot; icon </li><li>Select &quot;Up arrow&quot; to sort z-a</li>"
Project,"Send invitation to the account already in use with ""User"" role and not select ""Translation Language"" and select Group to access",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering &quot;Email&quot; you want to send invitation and set role is &quot;User&quot; </li><li>Select a group to grant access</li><li>Click on &quot;Invite&quot; button</li>"
Project,"""Send invitation to the account already in use with ""User"" role and select ""Translation Language"" and select Group to access",,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering &quot;Email&quot; you want to send invitation and set role is &quot;User&quot; </li><li>Select any language in &quot;Translation language&quot; for account</li><li>Select a group to grant access</li><li>Click on &quot;Invite&quot; button</li>"
Project,"""Send invitation to the account already in use with ""User"" role and not select ""Translation Language"""" and select group to access",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering &quot;Email&quot; you want to send invitation and set role is &quot;User&quot; (Email already in use)</li><li>Select a group to grant access</li><li>Click on &quot;Invite&quot; button</li>"
